,,,,,
고객센터 공지사항,,,,,
공지번호,관리자 번호,제목,내용,작성일,테이블이름
1,1,공지사항,관리자 사칭을 주의하세요,2022-10-01,notice
2,1,공지사항,두번째 내용,2022-10-03,notice
3,1,공지사항,세번째 내용,2022-10-05,notice
4,1,공지사항,첫번째 내용,2022-10-07,notice
5,1,공지사항,두번째 내용,2022-10-09,notice
6,1,공지사항,세번째 내용,2022-10-11,notice
7,1,공지사항,첫번째 내용,2022-10-13,notice
8,1,공지사항,두번째 내용,2022-10-15,notice
9,1,공지사항,세번째 내용,2022-10-17,notice
10,1,공지사항,첫번째 내용,2022-10-19,notice
11,1,공지사항,두번째 내용,2022-10-21,notice
12,1,공지사항,세번째 내용,2022-10-23,notice
13,1,공지사항,첫번째 내용,2022-10-26,notice
14,1,공지사항,관리자 사칭을 주의하세요,2022-10-29,notice
15,1,공지사항,"신규 기능, 피드게시판이 추가되었습니다.",2022-11-01,notice
16,1,공지사항,이번 달 예정이던 파티의 일정이 기상 악화로 인해 ...,2022-11-04,notice
17,1,공지사항,코로나 19의 확산으로 건강 관리에 유의하세요,2022-11-08,notice
18,1,공지사항,"신규 이벤트, 12월 파티 소식",2022-12-01,notice
