,,,,,
댓글,,,,,
댓글번호,회원번호,파티원모집번호,내용,작성일,공개여부
1,5,17,자리 하나만 더 추가해주시면ㅜㅜ,2022-10-09,0
2,5,17,재밌겠네요,2022-10-13,0
3,5,17,작성자님 주량이 어떻게 되세요?,2022-10-13,0
4,6,17,역삼역이랑 가까운 곳인가요?,2022-10-13,0
5,7,17,역삼역이랑 가까운 곳인가요?,2022-10-13,0
6,8,21,작성자님 주량이 어떻게 되세요?,2022-10-13,0
7,9,21,가고싶지만 좀 머네요ㅜ,2022-10-13,0
8,9,21,저번에 이 분이랑 먹었는데 굳,2022-10-13,0
9,9,21,역삼역이랑 가까운 곳인가요?,2022-10-13,0
10,10,21,여기 제 최애 맛집이에요,2022-10-13,0
11,14,21,저번에 이 분이랑 먹었는데 굳,2022-10-13,0
12,14,21,가고싶지만 좀 머네요ㅜ,2022-10-09,0
13,17,26,자리 하나만 더 추가해주시면ㅜㅜ,2022-10-14,0
14,18,26,저번에 이 분이랑 먹었는데 굳,2022-10-14,0
15,18,26,가고싶지만 좀 머네요ㅜ,2022-10-14,0
16,20,26,자차 끌고 가도 되겠죠 ,2022-10-14,0
17,21,26,사이드 같이 시키는 건가요?,2022-10-14,0
18,25,35,역삼역이랑 가까운 곳인가요?,2022-10-14,0
19,25,35,여기 제 최애 맛집이에요,2022-10-14,0
20,25,35,여기 제 최애 맛집이에요,2022-10-14,0
21,27,35,여기 제 최애 맛집이에요,2022-10-14,0
22,27,35,재밌겠네요,2022-10-14,0
23,29,35,여기 제 최애 맛집이에요,2022-10-14,0
24,30,35,자차 끌고 가도 되겠죠 ,2022-10-14,0
25,30,37,자차 끌고 가도 되겠죠 ,2022-10-14,0
26,31,37,재밌겠네요,2022-10-14,0
27,33,37,자리 하나만 더 추가해주시면ㅜㅜ,2022-10-14,0
28,33,37,역삼역이랑 가까운 곳인가요?,2022-10-14,0
29,35,37,작성자님 주량이 어떻게 되세요?,2022-10-14,0
30,36,37,재밌겠네요,2022-10-14,0
31,37,41,작성자님 주량이 어떻게 되세요?,2022-10-14,0
32,37,41,사이드 같이 시키는 건가요?,2022-10-14,0
33,37,41,자차 끌고 가도 되겠죠 ,2022-10-14,0
34,38,41,가고싶지만 좀 머네요ㅜ,2022-10-14,0
35,42,41,사이드 같이 시키는 건가요?,2022-10-15,0
36,42,42,작성자님 주량이 어떻게 되세요?,2022-10-15,0
37,45,42,자리 하나만 더 추가해주시면ㅜㅜ,2022-10-15,0
38,45,42,저번에 이 분이랑 먹었는데 굳,2022-10-15,0
39,45,42,역삼역이랑 가까운 곳인가요?,2022-10-15,0
40,47,42,사이드 같이 시키는 건가요?,2022-10-15,0
41,47,42,사이드 같이 시키는 건가요?,2022-10-15,0
42,47,45,자리 하나만 더 추가해주시면ㅜㅜ,2022-10-15,0
43,47,45,자차 끌고 가도 되겠죠 ,2022-10-15,0
44,48,45,자리 하나만 더 추가해주시면ㅜㅜ,2022-10-15,0
45,48,45,여기 제 최애 맛집이에요,2022-10-15,0
46,49,48,가고싶지만 좀 머네요ㅜ,2022-10-15,0
47,49,48,저번에 이 분이랑 먹었는데 굳,2022-10-15,0
48,50,48,재밌겠네요,2022-10-15,0
49,50,48,가고싶지만 좀 머네요ㅜ,2022-10-15,0
50,50,48,사이드 같이 시키는 건가요?,2022-10-15,0
